"","manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"1","allude","excel",1.8,1999,4,"auto(l5)","f",18,29,"p","compact"
"2","allude","excel",1.8,1999,4,"manual(m5)","f",21,29,"p","compact"
"3","allude","excel",2,2008,4,"manual(m6)","f",20,31,"p","compact"
"4","allude","excel",2,2008,4,"auto(av)","f",21,30,"p","compact"
"5","allude","excel",2.8,1999,6,"auto(l5)","f",16,26,"p","compact"
"6","allude","excel",2.8,1999,6,"manual(m5)","f",18,26,"p","compact"
"7","allude","excel",3.1,2008,6,"auto(av)","f",18,27,"p","compact"
"8","allude","excel finesse",1.8,1999,4,"manual(m5)","4",18,26,"p","compact"
"9","allude","excel finesse",1.8,1999,4,"auto(l5)","4",16,25,"p","compact"
"10","allude","excel finesse",2,2008,4,"manual(m6)","4",20,28,"p","compact"
"11","allude","excel finesse",2,2008,4,"auto(s6)","4",19,27,"p","compact"
"12","allude","excel finesse",2.8,1999,6,"auto(l5)","4",15,25,"p","compact"
"13","allude","excel finesse",2.8,1999,6,"manual(m5)","4",17,25,"p","compact"
"14","allude","excel finesse",3.1,2008,6,"auto(s6)","4",17,25,"p","compact"
"15","allude","excel finesse",3.1,2008,6,"manual(m6)","4",15,25,"p","compact"
"16","allude","a6 finesse",2.8,1999,6,"auto(l5)","4",15,24,"p","midsize"
"17","allude","a6 finesse",3.1,2008,6,"auto(s6)","4",17,25,"p","midsize"
"18","allude","a6 finesse",4.2,2008,8,"auto(s6)","4",16,23,"p","midsize"
"19","chevron","m1000 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"20","chevron","m1000 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv"
"21","chevron","m1000 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"22","chevron","m1000 suburban 2wd",5.7,1999,8,"auto(l4)","r",13,17,"r","suv"
"23","chevron","m1000 suburban 2wd",6,2008,8,"auto(l4)","r",12,17,"r","suv"
"24","chevron","corvette",5.7,1999,8,"manual(m6)","r",16,26,"p","2seater"
"25","chevron","corvette",5.7,1999,8,"auto(l4)","r",15,23,"p","2seater"
"26","chevron","corvette",6.2,2008,8,"manual(m6)","r",16,26,"p","2seater"
"27","chevron","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater"
"28","chevron","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater"
"29","chevron","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",14,19,"r","suv"
